company,city
Illumina,San Diego
Iron Mountain,Boston
LCI Industries,Elkhart
Marvell Technology,Wilmington
PennyMac Financial Services,Westlake Village
Digital Realty Trust,Austin
TreeHouse Foods,Oak Brook
Ralph Lauren,New York
Mattress Firm Group,Houston
American National Group,Galveston
Autodesk,San Rafael
Domino's Pizza,Ann Arbor
ASGN,Glen Allen
Flowers Foods,Thomasville
BlueLinx Holdings,Marietta
Palo Alto Networks,Santa Clara
Maximus,Reston
Dentsply Sirona,Charlotte
Hub Group,Oak Brook
Bread Financial Holdings,Columbus
Voya Financial,New York
Weis Markets,Sunbury
Century Communities,Greenwood Village
Synopsys,Mountain View
Brink's,Richmond
Lennox International,Richardson
Service Corp. International,Houston
Conduent,Florham Park
Timken,North Canton
Domtar,Fort Mill
Bloomin' Brands,Tampa
CNO Financial Group,Carmel
Snap,Santa Monica
Zoom Video Communications,San Jose
Patrick Industries,Elkhart
Paychex,Rochester
Atlas Air Worldwide Holdings,Purchase
Bright Health Group,Minneapolis
Peloton Interactive,New York
Country Financial,Bloomington
Qorvo,Greensboro
Catalent,Somerset
Mercury General,Los Angeles
AMN Healthcare Services,Dallas
Tri Pointe Homes,Incline Village
ArcBest,Fort Smith
Toro,Bloomington
Spirit AeroSystems Holdings,Wichita
Align Technology,Tempe
loanDepot,Foothill Ranch
APi Group,New Brighton
American Water Works,Camden
Matson,Honolulu
Diebold Nixdorf,Hudson
Marriott Vacations Worldwide,Orlando
Terex,Norwalk
Sally Beauty Holdings,Denton
Enovis,Wilmington
IAC,New York
Meritor,Troy
Ventas,Chicago
GoDaddy,Tempe
Regal Rexnord,Beloit
Puget Energy,Bellevue
Clean Harbors,Norwell
Pinnacle West Capital,Phoenix
eXp World Holdings,Bellingham
Mueller Industries,Collierville
Wynn Resorts,Las Vegas
RH,Corte Madera
EPAM Systems,Newtown
M/I Homes,Columbus
Generac Holdings,Waukesha
Mettler-Toledo International,Columbus
Abercrombie & Fitch,New Albany
Teradyne,North Reading
American Equity Investment Life Holding,West Des Moines
Southwest Gas Holdings,Las Vegas
Pitney Bowes,Stamford
Lamb Weston Holdings,Eagle
Alliant Energy,Madison
Resolute Forest Products,Calhoun
Parsons,Centreville
Trimble,Sunnyvale
OGE Energy,Oklahoma City
Garrett Motion,Plymouth
Winnebago Industries,Eden Prairie
Ciena,Hanover
PriceSmart,San Diego
Advantage Solutions,Irvine
H&R Block,Kansas City
iHeartMedia,San Antonio
Super Micro Computer,San Jose
Flowserve,Irving
Charles River Laboratories International,Wilmington
A.O. Smith,Milwaukee
Rithm Capital,New York
Medical Mutual of Ohio,Cleveland
Granite Construction,Watsonville
Valmont Industries,Omaha
Sprague Resources,Portsmouth
Primoris Services,Dallas
Cboe Global Markets,Chicago
Carter's,Atlanta
TopBuild,Daytona Beach
SiteOne Landscape Supply,Roswell
Texas Roadhouse,Louisville
Akamai Technologies,Cambridge
Brown-Forman,Louisville
Acuity Brands,Atlanta
Navient,Wilmington
Coterra Energy,Houston
Option Care Health,Bannockburn
Floor & Decor Holdings,Atlanta
Public Storage,Glendale
Cabot,Boston
Crane Holdings,Stamford
Atmos Energy,Dallas
Selective Insurance Group,Branchville
Take-Two Interactive Software,New York
Boyd Gaming,Las Vegas
Plexus,Neenah
ScanSource,Greenville
Franchise Group,Delaware
NLV Financial,Montpelier
CrossAmerica Partners,Allentown
Mr. Cooper Group,Coppell
Fortinet,Sunnyvale
Brinker International,Dallas
Albemarle,Charlotte
Peabody Energy,St. Louis
Light & Wonder,Las Vegas
Evercore,New York
Stewart Information Services,Houston
Central Garden & Pet,Walnut Creek
GMS,Tucker
H.B. Fuller,St. Paul
Middleby,Elgin
Renewable Energy Group,Ames
MSC Industrial Direct,Melville
Vishay Intertechnology,Malvern
Applied Industrial Technologies,Cleveland
Lincoln Electric Holdings,Cleveland
First Horizon,Memphis
Spirit Airlines,Miramar
AptarGroup,Crystal Lake
Citrix Systems,Fort Lauderdale
IDEXX Laboratories,Westbrook
Tetra Tech,Pasadena
Lyft,San Francisco
Gannett,McLean
ResMed,San Diego
Designer Brands,Columbus
Graham Holdings,Arlington
Vroom,New York
Worthington Industries,Columbus
Calumet Specialty Products Partners,Indianapolis
Xilinx,San Jose
TransUnion,Chicago
Travel + Leisure,Orlando
Topgolf Callaway Brands,Carlsbad
Dycom Industries,Palm Beach Gardens
Columbia Sportswear,Portland
Coherent,Saxonburg
Change Healthcare,Nashville
Grocery Outlet Holding,Emeryville
AMC Networks,New York
Hyster-Yale Materials Handling,Cleveland
ChampionX,The Woodlands
Comfort Systems USA,Houston
EQT,Pittsburgh
Brown & Brown,Daytona Beach
LGI Homes,The Woodlands
Hyatt Hotels,Chicago
Comerica,Dallas
Energizer Holdings,St. Louis
Hill-Rom Holdings,Chicago
Rackspace Technology,San Antonio
Verisk Analytics,Jersey City
Spectrum Brands Holdings,Middleton
Euronet Worldwide,Leawood
TEGNA,Tysons
Vontier,Raleigh
Cadence Design Systems,San Jose
Incyte,Wilmington
Match Group,Dallas
Valvoline,Lexington
EnerSys,Reading
Avaya Holdings,Durham
UWM Holdings,Pontiac
Zions Bancorp.,Salt Lake City
Quad/Graphics,Sussex
MKS Instruments,Andover
Arista Networks,Santa Clara
Interactive Brokers Group,Greenwich
Range Resources,Fort Worth
Atkore,Harvey
Cheesecake Factory,Calabasas Hills
First Solar,Tempe
Bio-Rad Laboratories,Hercules
Cooper Cos.,San Ramon
Envista Holdings,Brea
Alight,Lincolnshire
Newmark Group,New York
PC Connection,Merrimack
Host Hotels & Resorts,Bethesda
Boston Properties,Boston
Western Midstream Partners,The Woodlands
Magellan Midstream Partners,Tulsa
Hillenbrand,Batesville
Donaldson,Minneapolis
Moog,East Aurora
Hawaiian Electric Industries,Honolulu
Five Below,Philadelphia
Twilio,San Francisco
Univision Communciations,New York
Annaly Capital Management,New York
Fleetcor Technologies,Atlanta
West Pharmaceutical Services,Exton
Green Plains,Omaha
Cracker Barrel Old Country Store,Lebanon
Virtu Financial,New York
Teleflex,Wayne
Zynga,San Francisco
ATI,Pittsburgh
AppLovin,Palo Alto
Waters,Milford
Mutual of America Life Insurance,New York
Hovnanian Enterprises,Matawan
Amica Mutual Insurance,Lincoln
Caleres,St. Louis
FTI Consulting,Washington
Overstock.com,Midvale
Visteon,Van Buren Township
G-III Apparel Group,New York
ITT,White Plains
IDEX,Northbrook
Popular,Hato Rey
Roku,San Jose
Schnitzer Steel Industries,Portland
Brookdale Senior Living,Brentwood
Werner Enterprises,Omaha
Americold Realty Trust,Atlanta
SkyWest,St. George
Primerica,Duluth
McAfee,San Jose
Nu Skin Enterprises,Provo
Copart,Dallas
PROG Holdings,Draper
Splunk,San Francisco
MRC Global,Houston
Stericycle,Bannockburn
Maxim Integrated Products,San Jose
Ensign Group,San Juan Capistrano
SM Energy,Denver
Kaiser Aluminum,Foothill Ranch
Federated Mutual Insurance,Owatonna
F5,Seattle
Steelcase,Grand Rapids
Encore Wire,McKinney
Guess,Los Angeles
Playtika Holding,Henderson
Pinterest,San Francisco
WeWork,New York
ManTech International,Herndon
BrightView Holdings,Blue Bell
NortonLifeLock,Tempe
Deckers Outdoor,Goleta
Griffon,New York
AMC Entertainment Holdings,Leawood
Curtiss-Wright,Davidson
MYR Group,Henderson
Kontoor Brands,Greensboro
Liberty Energy,Denver
Knights of Columbus,New Haven
AdaptHealth,Plymouth Meeting
MillerKnoll,Zeeland
Equity Residential,Chicago
DexCom,San Diego
Rollins,Atlanta
Genesco,Nashville
Bruker,Billerica
Joann,Hudson
Wolverine World Wide,Rockford
Gray Television,Atlanta
Affiliated Managers Group,West Palm Beach
Summit Materials,Denver
SLM,Newark
Belden,St. Louis
Allison Transmission Holdings,Indianapolis
Element Solutions,Fort Lauderdale
Portland General Electric,Portland
REV Group,Brookfield
Acadia Healthcare,Franklin
Alexandria Real Estate Equities,Pasadena
Nordson,Westlake
NewMarket,Richmond
Ohio National Mutual,Cincinnati
Stepan,Northbrook
Valhi,Dallas
Hilton Grand Vacations,Orlando
Cooper-Standard Holdings,Northville
Etsy,Brooklyn
Crocs,Broomfield
Olympic Steel,Highland Hills
Signature Bank,New York
SBA Communications,Boca Raton
Murphy Oil,Houston
Entegris,Billerica
AvalonBay Communities,Arlington
Saia,Johns Creek
E.W. Scripps,Cincinnati
TTEC Holdings,Englewood
Sun Communities,Southfield
Alpha Metallurgical Resources,Bristol
GEO Group,Boca Raton
Viasat,Carlsbad
Benchmark Electronics,Tempe
Kar Auction Services,Carmel
TTM Technologies,Santa Ana
Kirby,Houston
Woodward,Fort Collins
Clear Channel Outdoor Holdings,San Antonio
Spire,St. Louis
Vista Outdoor,Anoka
Surgery Partners,Brentwood
LHC Group,Lafayette
Amedisys,Baton Rouge
Century Aluminum,Chicago
Arch Resources,St. Louis
Aerojet Rocketdyne Holdings,El Segundo
Sleep Number,Minneapolis
HNI,Muscatine
Pure Storage,Mountain View
TrueBlue,Tacoma
Party City Holdco,Elmsford
Dun & Bradstreet Holdings,Jacksonville
Dropbox,San Francisco
New Jersey Resources,Wall
Acushnet Holdings,Fairhaven
Harsco,Camp Hill
Beazer Homes USA,Atlanta
Chemed,Cincinnati
Genesis Energy,Houston
BWX Technologies,Lynchburg
Vizio Holding,Irvine
1-800-Flowers.com,Jericho
Cowen,New York
Ashland,Wilmington
DocuSign,San Francisco
